submission_id,ID,QUD,RT,age,block,botresponse,comments,competence,condition,critical_question,education,endTime,exp_condition,experiment_id,gender,languages,main_type,optionLeft,optionRight,prior,prompt,question,relevance,response,startDate,startTime,test_question,timeSpent,title,trial_name,trial_number
1837,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",19387,30,practice,mary,N/A,NA,example,NA,Higher Degree,1616581469418,NA,58,female,English,NA,certainly false,certainly true,NA,Joe and Sue have no children.,"<font size=""3""> How likely is it that the statement in the blue box is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story implies the contrary, so you should rate this as certainly false.</i></font>",NA,0,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,NA,12.173116666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,1
1837,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",6231,30,practice,mary,N/A,NA,example,NA,Higher Degree,1616581469418,NA,58,female,English,NA,certainly false,certainly true,NA,Joe went shopping without his wife Sue.,"<font size=""3""> How likely is it that the statement is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story implies this statement, so you should rate it as certainly true.</i> </font>",NA,100,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,NA,12.173116666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,2
1837,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",6130,30,practice,mary,N/A,NA,example,NA,Higher Degree,1616581469418,NA,58,female,English,NA,certainly false,certainly true,NA,Sue was very happy about the flowers.,"<font size=""3""> How likely is it that the statement is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story makes this rather likely, but we cannot be sure, so you might want to rate this somewhere in between certainly false and certainly true.</i></font>",NA,55,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,NA,12.173116666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,3
1837,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",19365,30,practice,mary,N/A,NA,example,Joe says to his wife the next day: 'The stores were really crowded yesterday.',Higher Degree,1616581469418,NA,58,female,English,NA,certainly false,certainly true,NA,Joe had to wait in line at the check-out at some stores he went to yesterday.,"<font size=""3""> How likely is it that the statement in the blue box is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story and the utterance imply that there might have been a line at the check-out at the stores, so you should rate this as rather true, although we cannot know for sure.</i></font>",NA,74,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,NA,12.173116666666667,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,4
1837,3,"Many people came to Carl's garden party yesterday, including his ex-wives Sue and Mary. It was terribly crowded everywhere. For most of the evening, John helped out Carl's wife in the kitchen where it was much more quiet during most of the party.",30876,30,test_question1,mary,N/A,0,test,NA,Higher Degree,1616581469418,hll,58,female,English,xor,certainly false,certainly true,0,"<b>John and Carl, the hosts, are a gay couple.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,0,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,test_false,12.173116666666667,Carl's party,xor_question,1
1837,3,"Many people came to Carl's garden party yesterday, including his ex-wives Sue and Mary. It was terribly crowded everywhere. For most of the evening, John helped out Carl's wife in the kitchen where it was much more quiet during most of the party.",7978,30,pri,mary,N/A,0,critical,NA,Higher Degree,1616581469418,hll,58,female,English,xor,certainly false,certainly true,0,"<b>If Carl danced passionately with Mary, it is likely that he also danced passionately with Sue.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,16,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,no,12.173116666666667,Carl's party,xor_question,2
1837,3,"Many people came to Carl's garden party yesterday, including his ex-wives Sue and Mary. It was terribly crowded everywhere. For most of the evening, John helped out Carl's wife in the kitchen where it was much more quiet during most of the party.",5176,30,pri,mary,N/A,0,critical,NA,Higher Degree,1616581469418,hll,58,female,English,xor,certainly false,certainly true,0,"<b>If Carl danced passionately with Sue, it is likely that he also danced passionately with Mary.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,22,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,no,12.173116666666667,Carl's party,xor_question,3
1837,3,"Many people came to Carl's garden party yesterday, including his ex-wives Sue and Mary. It was terribly crowded everywhere. For most of the evening, John helped out Carl's wife in the kitchen where it was much more quiet during most of the party.",9237,30,rel,mary,N/A,0,critical,NA,Higher Degree,1616581469418,hll,58,female,English,xor,certainly false,certainly true,0,<b>It is important for Carl's wife to know whether Carl danced passionately with both Sue and Mary.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,42,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,no,12.173116666666667,Carl's party,xor_question,4
1837,3,"Many people came to Carl's garden party yesterday, including his ex-wives Sue and Mary. It was terribly crowded everywhere. For most of the evening, John helped out Carl's wife in the kitchen where it was much more quiet during most of the party.",6445,30,comp,mary,N/A,0,critical,NA,Higher Degree,1616581469418,hll,58,female,English,xor,certainly false,certainly true,0,<b>John knows whether Carl danced passionately with both Sue and Mary.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,18,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,no,12.173116666666667,Carl's party,xor_question,5
1837,3,"Many people came to Carl's garden party yesterday, including his ex-wives Sue and Mary. It was terribly crowded everywhere. For most of the evening, John helped out Carl's wife in the kitchen where it was much more quiet during most of the party.",11222,30,test_question2,mary,N/A,0,test,NA,Higher Degree,1616581469418,hll,58,female,English,xor,certainly false,certainly true,0,<b>John is Sue's husband.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,48,Wed Mar 24 2021 10:12:19 GMT+0000 (Greenwich Mean Time),1616580739031,test_false1,12.173116666666667,Carl's party,xor_question,6
