submission_id,ID,QUD,RT,block,condition,critical_question,exp_condition,experiment_id,main_type,prompt,question,response,test_question,title,trial_name,trial_number,class_condition,prior_class,w_utterance,block_extended,mean_resp,mean_resp_block,expected_block
1972,10,"Recently, Gigi took exams in Physics and Chemistry. She studied day and night and even paid for private tutoring. Carrie just heard some rumors from her fellow students when she talked to Gigi's best friend.",14474,relevance,critical,NA,hlh,58,xor,<b>It is important for Gigi's best friend to know whether Gigi passed both her Physics exam and her Chemistry exam.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",57,no,Gigi's exams_hlh,xor_question,2,relevance,1,FALSE,relevance,52.775252525252526,56.13636363636363,100
1972,10,"Recently, Gigi took exams in Physics and Chemistry. She studied day and night and even paid for private tutoring. Carrie just heard some rumors from her fellow students when she talked to Gigi's best friend.",5423,prior,critical,NA,hlh,58,xor,"<b>If Gigi passed her Chemistry exam, it is likely that she also passed her Physics exam.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",78,no,Gigi's exams_hlh,xor_question,3,prior,1,FALSE,prior,41.82575757575758,61.95454545454545,100
1972,10,"Recently, Gigi took exams in Physics and Chemistry. She studied day and night and even paid for private tutoring. Carrie just heard some rumors from her fellow students when she talked to Gigi's best friend.",24713,prior,critical,NA,hlh,58,xor,"<b>If Gigi passed her Physics exam, it is likely that she also passed her Chemistry exam.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",77,no,Gigi's exams_hlh,xor_question,4,prior,1,FALSE,prior,41.82575757575758,61.95454545454545,100
1972,10,"Recently, Gigi took exams in Physics and Chemistry. She studied day and night and even paid for private tutoring. Carrie just heard some rumors from her fellow students when she talked to Gigi's best friend.",7591,competence,critical,NA,hlh,58,xor,<b>Carrie knows whether Gigi passed both her Physics exam and her Chemistry exam.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,no,Gigi's exams_hlh,xor_question,5,competence,0,FALSE,competence,60.35606060606061,43.59090909090909,0
1972,10,"Recently, Gigi took exams in Physics and Chemistry. She studied day and night and even paid for private tutoring. Carrie just heard some rumors from her fellow students when she talked to Gigi's best friend.",12439,target,critical,<b>Carrie tells Gigi's best friend: 'Gigi passed her Physics exam or her Chemistry exam.'</b>,hlh,58,xor,<b>From what Carrie said we may conclude that Gigi did not pass both her Physics exam and her Chemistry exam.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",73,no,Gigi's exams_hlh,xor_question,9,relevance,1,TRUE,target,68.22474747474747,54.27272727272727,NA
1972,10,"Recently, Gigi took exams in Physics and Chemistry. She studied day and night and even paid for private tutoring. Carrie just heard some rumors from her fellow students when she talked to Gigi's best friend.",6767,competence,critical,<b>Carrie tells Gigi's best friend: 'Gigi passed her Physics exam or her Chemistry exam.'</b>,hlh,58,xor,<b>Carrie knows whether Gigi passed both her Physics exam and her Chemistry exam.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",61,no,Gigi's exams_hlh,xor_question,10,competence,0,TRUE,competence_wUtt,60.35606060606061,43.59090909090909,0
1972,10,"Recently, Gigi took exams in Physics and Chemistry. She studied day and night and even paid for private tutoring. Carrie just heard some rumors from her fellow students when she talked to Gigi's best friend.",5387,relevance,critical,<b>Carrie tells Gigi's best friend: 'Gigi passed her Physics exam or her Chemistry exam.'</b>,hlh,58,xor,<b>It is important for Gigi's best friend to know whether Gigi passed both her Physics exam and her Chemistry exam.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",76,no,Gigi's exams_hlh,xor_question,11,relevance,1,TRUE,relevance_wUtt,52.775252525252526,56.13636363636363,100
1972,11,"Leo is sponsoring a golf tournament. In particular, he provides a luxurious car for any hole-in-one. When Leo arrives at the tournament, his friend Hans who arrived shortly before him comes up to him to tell about the events so far.",14668,competence,critical,NA,hll,58,xor,<b>Hans knows whether someone just made a hole-in-one on both the first and the second hole.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",75,no,Leo's prize_hll,xor_question,13,competence,0,FALSE,competence,60.35606060606061,52.8125,0
1972,11,"Leo is sponsoring a golf tournament. In particular, he provides a luxurious car for any hole-in-one. When Leo arrives at the tournament, his friend Hans who arrived shortly before him comes up to him to tell about the events so far.",7419,prior,critical,NA,hll,58,xor,"<b>If someone hit a hole-in-one on the second hole, it is likely that they also hit one on the first hole.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",71,no,Leo's prize_hll,xor_question,14,prior,0,FALSE,prior,41.82575757575758,22.0625,0
1972,11,"Leo is sponsoring a golf tournament. In particular, he provides a luxurious car for any hole-in-one. When Leo arrives at the tournament, his friend Hans who arrived shortly before him comes up to him to tell about the events so far.",7841,prior,critical,NA,hll,58,xor,"<b>If someone hit a hole-in-one on the first hole, it is likely that they also hit one on the second hole.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",59,no,Leo's prize_hll,xor_question,15,prior,0,FALSE,prior,41.82575757575758,22.0625,0
