subj,trigger,target,Predictors,Predictor_response,prior_categorization,Prior categorization,Trigger
subj_1,or,-0.7999074948445336,Competence,-0.3346122790349942,0,low,Or
subj_1,or,-0.7999074948445336,Relevance,-0.8221127539046011,0,low,Or
subj_1,or,-0.7999074948445336,Prior,-0.4488100468925413,0,low,Or
subj_1,some,-1.3739206511318087,Competence,-0.8404626041014125,0,low,Some
subj_1,some,-1.3739206511318087,Relevance,0.5191134679959367,1,high,Some
subj_1,some,-1.3739206511318087,Prior,-0.8165775311365648,0,low,Some
subj_1,or,0.8444182376964919,Competence,-0.19904082329092612,0,low,Or
subj_1,or,0.8444182376964919,Relevance,1.2482405948879889,1,high,Or
subj_1,or,0.8444182376964919,Prior,-0.7485503403746943,0,low,Or
subj_1,some,-1.7887443027703305,Competence,-1.0087997290281838,0,low,Some
subj_1,some,-1.7887443027703305,Relevance,-1.8508552161782543,0,low,Some
subj_1,some,-1.7887443027703305,Prior,2.240935586836572,1,high,Some
subj_1,or,-0.03786950957265122,Competence,-0.6636808313339592,0,low,Or
subj_1,or,-0.03786950957265122,Relevance,0.6561687709932427,1,high,Or
subj_1,or,-0.03786950957265122,Prior,0.14402933438241372,1,high,Or
subj_1,some,-0.6662019959075652,Competence,0.6425025448698984,1,high,Some
subj_1,some,-0.6662019959075652,Relevance,0.7256753357184851,1,high,Some
subj_1,some,-0.6662019959075652,Prior,-0.4301328211504727,0,low,Some
subj_1,or,1.4272468024637033,Competence,2.0330847702248898,1,high,Or
subj_1,or,1.4272468024637033,Relevance,-0.2508127938606957,0,low,Or
subj_1,or,1.4272468024637033,Prior,-0.38405639872540864,0,low,Or
subj_1,some,-0.520228679521774,Competence,0.3710089516946875,1,high,Some
subj_1,some,-0.520228679521774,Relevance,-0.22541740565210208,0,low,Some
subj_1,some,-0.520228679521774,Prior,0.44316221706069603,1,high,Some
subj_2,or,2.048030258058159,Competence,2.340331221496094,1,high,Or
subj_2,or,2.048030258058159,Relevance,0.49576518120594393,1,high,Or
subj_2,or,2.048030258058159,Prior,0.16801116774805172,1,high,Or
subj_2,some,-0.7556714213009714,Competence,-0.48732376405514566,0,low,Some
subj_2,some,-0.7556714213009714,Relevance,0.8117386752723812,1,high,Some
subj_2,some,-0.7556714213009714,Prior,0.20653489359907787,1,high,Some
subj_2,or,1.6831641653032534,Competence,-0.24783068723809695,0,low,Or
subj_2,or,1.6831641653032534,Relevance,-0.9000622213601044,0,low,Or
subj_2,or,1.6831641653032534,Prior,-1.6629231515712486,0,low,Or
subj_2,some,-1.140847834707692,Competence,0.3975550709073729,1,high,Some
subj_2,some,-1.140847834707692,Relevance,-0.19964799837456185,0,low,Some
subj_2,some,-1.140847834707692,Prior,0.0848356526213577,1,high,Some
subj_2,or,0.43567896391106997,Competence,-0.40388823796955897,0,low,Or
subj_2,or,0.43567896391106997,Relevance,-1.7362748084125035,0,low,Or
subj_2,or,0.43567896391106997,Prior,-0.6674330435704805,0,low,Or
subj_2,some,2.5033354793104676,Competence,-0.374888117292229,0,low,Some
subj_2,some,2.5033354793104676,Relevance,-0.46279069331409894,0,low,Some
subj_2,some,2.5033354793104676,Prior,-0.5333082012237369,0,low,Some
subj_2,or,-0.048130531753189675,Competence,-0.5307530120525664,0,low,Or
subj_2,or,-0.048130531753189675,Relevance,1.1258638602064548,1,high,Or
subj_2,or,-0.048130531753189675,Prior,0.6842451278162356,1,high,Or
subj_2,some,-0.901808383201976,Competence,-0.6932024737958695,0,low,Some
subj_2,some,-0.901808383201976,Relevance,0.8654080047764884,1,high,Some
subj_2,some,-0.901808383201976,Prior,1.7200375545807425,1,high,Some
subj_3,or,-0.27433004893940915,Competence,-0.35744567718891246,0,low,Or
subj_3,or,-0.27433004893940915,Relevance,-0.4061309111985932,0,low,Or
subj_3,or,-0.27433004893940915,Prior,-0.2120013986479561,0,low,Or
subj_3,some,-0.8662964617445558,Competence,0.6236786489686655,1,high,Some
subj_3,some,-0.8662964617445558,Relevance,1.3633355586528157,1,high,Some
subj_3,some,-0.8662964617445558,Prior,-0.2011952447649015,0,low,Some
subj_3,or,0.29765094842175416,Competence,1.9984608192064102,1,high,Or
subj_3,or,0.29765094842175416,Relevance,-1.527486858178043,0,low,Or
subj_3,or,0.29765094842175416,Prior,-1.8677578200721536,0,low,Or
subj_3,some,0.40709010047924565,Competence,-0.15139476175340316,0,low,Some
subj_3,some,0.40709010047924565,Relevance,0.9575691019614708,1,high,Some
subj_3,some,0.40709010047924565,Prior,-0.20645298968134732,0,low,Some
subj_3,or,1.4598184923771516,Competence,-1.3476255996318365,0,low,Or
subj_3,or,1.4598184923771516,Relevance,0.9196330772405954,1,high,Or
subj_3,or,1.4598184923771516,Prior,1.2129775766949138,1,high,Or
subj_3,some,0.7361542688408307,Competence,-0.7026511482550568,0,low,Some
subj_3,some,0.7361542688408307,Relevance,-0.06498821162023095,0,low,Some
subj_3,some,0.7361542688408307,Prior,1.001420530275497,1,high,Some
subj_3,or,-0.6368785667382354,Competence,0.246600540122588,1,high,Or
subj_3,or,-0.6368785667382354,Relevance,-0.3917569761225445,0,low,Or
subj_3,or,-0.6368785667382354,Prior,0.7968110555785454,1,high,Or
subj_3,some,0.26015091307654997,Competence,-0.3096228214684548,0,low,Some
subj_3,some,0.26015091307654997,Relevance,-0.8501747807354705,0,low,Some
subj_3,some,0.26015091307654997,Prior,-0.5238017093825977,0,low,Some
subj_4,or,-0.3709157736520337,Competence,-1.1992131919121607,0,low,Or
subj_4,or,-0.3709157736520337,Relevance,-1.3812927875157426,0,low,Or
subj_4,or,-0.3709157736520337,Prior,-1.3836819454545037,0,low,Or
subj_4,some,-0.7235258577016381,Competence,0.8368894045074246,1,high,Some
subj_4,some,-0.7235258577016381,Relevance,0.5667383197174991,1,high,Some
subj_4,some,-0.7235258577016381,Prior,1.0144224642366682,1,high,Some
subj_4,or,1.9551012759320046,Competence,-1.3432923588935515,0,low,Or
subj_4,or,1.9551012759320046,Relevance,0.6584031879425406,1,high,Or
subj_4,or,1.9551012759320046,Prior,0.0021822412588964513,1,high,Or
subj_4,some,0.9930164990267406,Competence,0.8393420008458683,1,high,Some
subj_4,some,0.9930164990267406,Relevance,1.7696497272131853,1,high,Some
subj_4,some,0.9930164990267406,Prior,0.992224755586321,1,high,Some
subj_4,or,2.257508738000204,Competence,1.2223367041016333,1,high,Or
subj_4,or,2.257508738000204,Relevance,0.11798136078789238,1,high,Or
subj_4,or,2.257508738000204,Prior,-1.548351505923242,0,low,Or
subj_4,some,-4.4794979825334147e-4,Competence,0.38764054185217156,1,high,Some
subj_4,some,-4.4794979825334147e-4,Relevance,-0.7426411796397626,0,low,Some
subj_4,some,-4.4794979825334147e-4,Prior,0.1817166348140178,1,high,Some
subj_4,or,-0.770227650550602,Competence,0.09272090394355459,1,high,Or
subj_4,or,-0.770227650550602,Relevance,-0.21933154880362782,0,low,Or
subj_4,or,-0.770227650550602,Prior,0.7988450323681688,1,high,Or
subj_4,some,-1.7455741311228168,Competence,-0.8364240044449399,0,low,Some
subj_4,some,-1.7455741311228168,Relevance,-0.769507079701984,0,low,Some
subj_4,some,-1.7455741311228168,Prior,-0.05735767688632645,0,low,Some
subj_5,or,1.5076537838137425,Competence,-0.25827294905241577,0,low,Or
subj_5,or,1.5076537838137425,Relevance,-0.46732934809880244,0,low,Or
subj_5,or,1.5076537838137425,Prior,0.14833677823535107,1,high,Or
subj_5,some,-1.0708910284393252,Competence,-1.8259549751708486,0,low,Some
subj_5,some,-1.0708910284393252,Relevance,0.4736995573260801,1,high,Some
subj_5,some,-1.0708910284393252,Prior,-0.05026505617972587,0,low,Some
subj_5,or,0.13981334261908562,Competence,0.9290916432727775,1,high,Or
subj_5,or,0.13981334261908562,Relevance,1.3328768104973066,1,high,Or
subj_5,or,0.13981334261908562,Prior,2.1416128272498187,1,high,Or
